Bias,Excitation
2,0.095318
1.999,0.093699
1.998,0.09477
1.997,0.095512
1.996,0.094978
1.995,0.094814
1.994,0.09523
1.993,0.09488
1.992,0.094378
1.991,0.094486
1.99,0.093279
1.989,0.094024
1.988,0.095238
1.987,0.095304
1.986,0.09364
1.985,0.094642
1.984,0.094167
1.983,0.095578
1.982,0.095183
1.981,0.094235
1.98,0.095061
1.979,0.094261
1.978,0.094998
1.977,0.094661
1.976,0.094867
1.975,0.094337
1.974,0.094409
1.973,0.094651
1.972,0.095138
1.971,0.095057
1.97,0.094606
1.969,0.094625
1.968,0.094721
1.967,0.094321
1.966,0.094978
1.965,0.094296
1.964,0.093929
1.963,0.09502
1.962,0.095322
1.961,0.094695
1.96,0.09537
1.959,0.094156
1.958,0.094523
1.957,0.095343
1.956,0.094569
1.955,0.094099
1.954,0.094932
1.953,0.094925
1.952,0.094964
1.951,0.09499
1.95,0.094684
1.949,0.094006
1.948,0.09481
1.947,0.094636
1.946,0.094327
1.945,0.094679
1.944,0.094278
1.943,0.093918
1.942,0.095162
1.941,0.095749
1.94,0.094551
1.939,0.093774
1.938,0.093938
1.937,0.094408
1.936,0.094994
1.935,0.095236
1.934,0.094028
1.933,0.093828
1.932,0.094983
1.931,0.094968
1.93,0.092994
1.929,0.093602
1.928,0.094012
1.927,0.095047
1.926,0.093886
1.925,0.094448
1.924,0.093852
1.923,0.094158
1.922,0.095315
1.921,0.095012
1.92,0.094565
1.919,0.094925
1.918,0.093943
1.917,0.094241
1.916,0.094293
1.915,0.094034
1.914,0.093648
1.913,0.094266
1.912,0.094197
1.911,0.094094
1.91,0.094059
1.909,0.094051
1.908,0.09364
1.907,0.094108
1.906,0.093607
1.905,0.094577
1.904,0.094415
1.903,0.093905
1.902,0.09428
1.901,0.094527
1.9,0.094463
1.899,0.0939
1.898,0.095102
1.897,0.0938
1.896,0.094305
1.895,0.094526
1.894,0.093877
1.893,0.094714
1.892,0.094808
1.891,0.093891
1.89,0.094436
1.889,0.093784
1.888,0.094097
1.887,0.094721
1.886,0.094631
1.885,0.094755
1.884,0.094789
1.883,0.094608
1.882,0.094728
1.881,0.094593
1.88,0.09364
1.879,0.093928
1.878,0.094455
1.877,0.094182
1.876,0.093061
1.875,0.094126
1.874,0.093957
1.873,0.093768
1.872,0.094421
1.871,0.094809
1.87,0.09372
1.869,0.09357
1.868,0.094723
1.867,0.094427
1.866,0.094678
1.865,0.094608
1.864,0.093994
1.863,0.093898
1.862,0.094268
1.861,0.093908
1.86,0.094084
1.859,0.093638
1.858,0.094783
1.857,0.094895
1.856,0.094259
1.855,0.093866
1.854,0.093353
1.853,0.094254
1.852,0.095237
1.851,0.095127
1.85,0.093367
1.849,0.094098
1.848,0.093733
1.847,0.094424
1.846,0.094703
1.845,0.094463
1.844,0.094292
1.843,0.093774
1.842,0.094518
1.841,0.094684
1.84,0.093976
1.839,0.093605
1.838,0.094241
1.837,0.093892
1.836,0.094608
1.835,0.094169
1.834,0.093786
1.833,0.094412
1.832,0.094885
1.831,0.09372
1.83,0.093824
1.829,0.094392
1.828,0.093866
1.827,0.094084
1.826,0.09393
1.825,0.093896
1.824,0.093573
1.823,0.093867
1.822,0.094202
1.821,0.093375
1.82,0.094147
1.819,0.09381
1.818,0.093231
1.817,0.094206
1.816,0.09354
1.815,0.093731
1.814,0.093396
1.813,0.093615
1.812,0.094875
1.811,0.094156
1.81,0.093344
1.809,0.09265
1.808,0.093977
1.807,0.09387
1.806,0.093617
1.805,0.093585
1.804,0.093815
1.803,0.094054
1.802,0.094015
1.801,0.093466
1.8,0.093
1.799,0.093016
1.798,0.093968
1.797,0.093958
1.796,0.094163
1.795,0.093971
1.794,0.093795
1.793,0.094132
1.792,0.094395
1.791,0.093858
1.79,0.093992
1.789,0.094306
1.788,0.094172
1.787,0.094694
1.786,0.094407
1.785,0.093629
1.784,0.09409
1.783,0.093627
1.782,0.093557
1.781,0.094312
1.78,0.0935
1.779,0.093576
1.778,0.093905
1.777,0.094378
1.776,0.094441
1.775,0.0941
1.774,0.093772
1.773,0.094133
1.772,0.093693
1.771,0.093968
1.77,0.093694
1.769,0.09335
1.768,0.093431
1.767,0.093201
1.766,0.0938
1.765,0.094524
1.764,0.093323
1.763,0.094721
1.762,0.093562
1.761,0.094867
1.76,0.093542
1.759,0.0931
1.758,0.093536
1.757,0.093525
1.756,0.093976
1.755,0.094369
1.754,0.092995
1.753,0.093555
1.752,0.093919
1.751,0.093998
1.75,0.0933
1.749,0.094039
1.748,0.093644
1.747,0.093669
1.746,0.093685
1.745,0.094948
1.744,0.093866
1.743,0.094064
1.742,0.093728
1.741,0.093255
1.74,0.093577
1.739,0.092722
1.738,0.093816
1.737,0.093663
1.736,0.093454
1.735,0.093798
1.734,0.093156
1.733,0.093521
1.732,0.093216
1.731,0.093767
1.73,0.093058
1.729,0.093217
1.728,0.094319
1.727,0.093371
1.726,0.093368
1.725,0.093483
1.724,0.0929
1.723,0.093518
1.722,0.094367
1.721,0.093825
1.72,0.09401
1.719,0.09362
1.718,0.093426
1.717,0.093444
1.716,0.093522
1.715,0.093386
1.714,0.09413
1.713,0.092988
1.712,0.094503
1.711,0.093384
1.71,0.09297
1.709,0.093184
1.708,0.093711
1.707,0.09314
1.706,0.093975
1.705,0.093104
1.704,0.094022
1.703,0.092769
1.702,0.093246
1.701,0.093281
1.7,0.093236
1.699,0.092387
1.698,0.093812
1.697,0.093909
1.696,0.093462
1.695,0.093058
1.694,0.093673
1.693,0.094061
1.692,0.093995
1.691,0.093393
1.69,0.093478
1.689,0.093532
1.688,0.093792
1.687,0.094895
1.686,0.093849
1.685,0.093426
1.684,0.093368
1.683,0.093152
1.682,0.092693
1.681,0.094383
1.68,0.093256
1.679,0.09285
1.678,0.094045
1.677,0.094115
1.676,0.093351
1.675,0.092344
1.674,0.093645
1.673,0.093946
1.672,0.093663
1.671,0.093326
1.67,0.092806
1.669,0.092811
1.668,0.094218
1.667,0.093868
1.666,0.092963
1.665,0.092855
1.664,0.092495
1.663,0.093542
1.662,0.094103
1.661,0.093554
1.66,0.092735
1.659,0.093634
1.658,0.093351
1.657,0.093887
1.656,0.093437
1.655,0.093429
1.654,0.092815
1.653,0.093428
1.652,0.092905
1.651,0.09315
1.65,0.093129
1.649,0.093532
1.648,0.093368
1.647,0.093633
1.646,0.09364
1.645,0.093211
1.644,0.093376
1.643,0.093816
1.642,0.093447
1.641,0.093003
1.64,0.093403
1.639,0.092818
1.638,0.093747
1.637,0.094025
1.636,0.093504
1.635,0.09356
1.634,0.093009
1.633,0.094316
1.632,0.093827
1.631,0.093371
1.63,0.093196
1.629,0.093925
1.628,0.093511
1.627,0.093445
1.626,0.092749
1.625,0.092896
1.624,0.094244
1.623,0.09359
1.622,0.093796
1.621,0.093613
1.62,0.092221
1.619,0.093545
1.618,0.092518
1.617,0.093603
1.616,0.093158
1.615,0.093245
1.614,0.092999
1.613,0.092547
1.612,0.093554
1.611,0.092942
1.61,0.0933
1.609,0.093664
1.608,0.093219
1.607,0.09306
1.606,0.093397
1.605,0.093488
1.604,0.093859
1.603,0.093147
1.602,0.093057
1.601,0.093149
1.6,0.093625
1.599,0.092914
1.598,0.093774
1.597,0.092917
1.596,0.092389
1.595,0.093296
1.594,0.094037
1.593,0.093711
1.592,0.093164
1.591,0.09367
1.59,0.092948
1.589,0.093778
1.588,0.092489
1.587,0.093213
1.586,0.092744
1.585,0.093545
1.584,0.093395
1.583,0.093091
1.582,0.09335
1.581,0.09325
1.58,0.093218
1.579,0.093558
1.578,0.093202
1.577,0.092953
1.576,0.093172
1.575,0.093424
1.574,0.094012
1.573,0.093175
1.572,0.094002
1.571,0.093894
1.57,0.093506
1.569,0.093726
1.568,0.09377
1.567,0.092933
1.566,0.093463
1.565,0.092568
1.564,0.092956
1.563,0.093477
1.562,0.093119
1.561,0.093316
1.56,0.092724
1.559,0.093925
1.558,0.093668
1.557,0.092578
1.556,0.093878
1.555,0.093321
1.554,0.093199
1.553,0.093344
1.552,0.093245
1.551,0.093905
1.55,0.093195
1.549,0.093296
1.548,0.093325
1.547,0.09326
1.546,0.092509
1.545,0.093002
1.544,0.093511
1.543,0.092484
1.542,0.093677
1.541,0.093016
1.54,0.092918
1.539,0.094051
1.538,0.092253
1.537,0.092499
1.536,0.093079
1.535,0.092588
1.534,0.093188
1.533,0.093519
1.532,0.092525
1.531,0.092707
1.53,0.092727
1.529,0.093564
1.528,0.093409
1.527,0.092947
1.526,0.092802
1.525,0.092823
1.524,0.09385
1.523,0.093106
1.522,0.092773
1.521,0.092964
1.52,0.092949
1.519,0.092774
1.518,0.092551
1.517,0.093505
1.516,0.093086
1.515,0.093982
1.514,0.093168
1.513,0.093067
1.512,0.092683
1.511,0.093499
1.51,0.092779
1.509,0.093025
1.508,0.093666
1.507,0.093345
1.506,0.093247
1.505,0.092866
1.504,0.093269
1.503,0.093023
1.502,0.093284
1.501,0.092981
1.5,0.093367
1.499,0.093496
1.498,0.093165
1.497,0.093492
1.496,0.093046
1.495,0.093682
1.494,0.093829
1.493,0.092314
1.492,0.092675
1.491,0.093253
1.49,0.092726
1.489,0.092966
1.488,0.092352
1.487,0.092035
1.486,0.092951
1.485,0.093026
1.484,0.094257
1.483,0.092962
1.482,0.093425
1.481,0.093084
1.48,0.093266
1.479,0.093045
1.478,0.092298
1.477,0.092949
1.476,0.093018
1.475,0.093849
1.474,0.092579
1.473,0.092543
1.472,0.092871
1.471,0.092206
1.47,0.092639
1.469,0.093855
