Vg_biasarray,Vs_biasarray,F_biasarray,df_biasarray,dg_biasarray
-3.0,-0.36718995297321316,-1.292105388538761e-11,-6.848765514434385,5.6689938443076775
-2.95,-0.3619393286295635,-1.0716791612759467e-11,-6.294486985902379,4.689167174425126
-2.9,-0.35612606648351863,-8.742374294820144e-12,-5.7971935189294665,3.8090798238263557
-2.85,-0.34961617365800624,-6.995211828070183e-12,-5.35596768938663,3.0274283740428922
-2.8,-0.3422216439513057,-5.472260870828132e-12,-4.969783095814173,2.3426744521629668
-2.75,-0.3336678359665999,-4.169930190390634e-12,-4.6377874048061996,1.7535481574194565
-2.7,-0.3235341022723282,-3.083978412739335e-12,-4.35994862344329,1.2601988104222124
-2.65,-0.31114250340881494,-2.2093977527038327e-12,-4.137478288494307,0.8649520799732002
-2.6,-0.2953599888681451,-1.5400853796187016e-12,-3.971821470781518,0.5705184299708136
-2.55,-0.2743884567913935,-1.0667048843770903e-12,-3.861839140486515,0.3749808271890431
-2.5,-0.24636571831233586,-7.659689559276468e-13,-3.79903012178811,0.2632918264434567
-2.45,-0.2120065533115996,-5.822038896419076e-13,-3.7650819573044423,0.20291780964487077
-2.4,-0.17489857767492734,-4.496550706751963e-13,-3.7420163273988067,0.1618949593678036
-2.35,-0.13777218439555247,-3.3435655138852225e-13,-3.7213471647940586,0.12513255511744867
-2.3,-0.10187337529185629,-2.276283723201714e-13,-3.7008121889592296,0.08860719167089061
-2.25,-0.067982664506001,-1.3073345057878521e-13,-3.6806597570770925,0.0527606803496557
-2.2,-0.0368610661071392,-5.1156406050238995e-14,-3.662955046034145,0.021266810167012467
-2.15,-0.009210016574685755,-4.342096583640696e-15,-3.65203690045275,0.001844562125402478
-2.1,0.014588361240481632,-1.4888737452865113e-14,-3.654606700307042,0.006416010622728758
-2.05,0.034632150374390866,-1.1347516319612315e-13,-3.6787387758834695,0.04934361802697622
-2.0,0.05138559337258052,-3.3097001720612344e-13,-3.7323754491369288,0.1447477894681481
-1.95,0.06544206075272391,-6.940246523096132e-13,-3.822303401791002,0.30467888221963946
-1.9,0.07735719626107976,-1.22372314370366e-12,-3.953876776555942,0.5386177255426744
-1.85,0.08758663549335498,-1.936129055679684e-12,-4.131176314521582,0.8537530599747328
-1.8,0.09648326122375697,-2.8433905632452037e-12,-4.35729114485402,1.2554785831108206
